"Dataset","Model","Branch_Mode","Corruption","Severity","Corruption_Seed","MSE","MAE","Realized_Rate","Elements","Checkpoint_ID","Checkpoint_SHA256","source_gpu","source_note"
"Weather","PFB-Direct","primary-only","mcar","0.1","22","0.2202650649682409","0.282325678250117","0.09999911031789249","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.1","33","0.22056735919382203","0.2824103736997981","0.09999911031789249","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.2","11","0.23501237386202525","0.3040843679500296","0.19999822063578498","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.2","22","0.23505376142329718","0.3040424258707447","0.19999822063578498","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.2","33","0.23560433395919114","0.30428206624321247","0.19999822063578498","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.3","11","0.2566765117280719","0.33119708711249407","0.300001779364215","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.3","22","0.25673699375895276","0.3312161925711163","0.300001779364215","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","mcar","0.3","33","0.25735832216368365","0.33140977217277606","0.300001779364215","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","block","0.1","11","0.22170141748372907","0.28337952583654663","0.1374932092005088","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","primary-only","block","0.1","22","0.22205885735131314","0.28354077601872973","0.13749981988911275","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
