Model,Dataset,Horizon,SeqLen,MSE,MAE,ExperimentName
PatchFusionBERT_v0,ETTh2,192,336,0.37201127409935,0.40039920806884766,long_term_forecast_PFB_v0_MS2021_ETTh2_192_PatchFusionBERT_v0_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v0,ETTh2,192,336,0.37629711627960205,0.4000835418701172,long_term_forecast_PFB_v0_MS2022_ETTh2_192_PatchFusionBERT_v0_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v0,ETTh2,192,336,0.36453014612197876,0.3952651917934418,long_term_forecast_PFB_v0_MS2023_ETTh2_192_PatchFusionBERT_v0_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v2,ETTh2,192,336,0.3672778010368347,0.39518222212791443,long_term_forecast_PFB_v2_H192_ETTh2_192_PatchFusionBERT_v2_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v2,ETTh2,192,336,0.3672778010368347,0.39518222212791443,long_term_forecast_ETTh2_336_192_MS2021_PatchFusionBERT_v2_ETTh2_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh2,192,336,0.3673385679721832,0.39845967292785645,long_term_forecast_ETTh2_336_192_MS2022_PatchFusionBERT_v2_ETTh2_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh2,192,336,0.3758302330970764,0.39652395248413086,long_term_forecast_ETTh2_336_192_MS2023_PatchFusionBERT_v2_ETTh2_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,ETTh2,192,336,0.38874056935310364,0.4117979407310486,long_term_forecast_PatchTST_H192_ETTh2_192_PatchTST_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchTST,ETTh2,192,336,0.38874056935310364,0.4117979407310486,long_term_forecast_PatchTST_MS2021_ETTh2_192_PatchTST_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchTST,ETTh2,192,336,0.389241486787796,0.40840214490890503,long_term_forecast_PatchTST_MS2022_ETTh2_192_PatchTST_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchTST,ETTh2,192,336,0.37640538811683655,0.40356332063674927,long_term_forecast_PatchTST_MS2023_ETTh2_192_PatchTST_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
