dataset,horizon,model,seed,mse,mae
ETTh2,336,PatchFusionBERT_v2,2022,0.38893914222717285,0.41544753313064575
ETTh2,336,PatchTST,2022,0.4120362401008606,0.4314768612384796
ETTh2,336,DLinear,2022,0.42244088649749756,0.4440917670726776
Exchange,336,PatchFusionBERT_v0,2022,0.36561501026153564,0.44143787026405334
Exchange,336,PatchFusionBERT_v2,2022,0.38305044174194336,0.45772403478622437
Exchange,336,PatchTST,2022,0.37950190901756287,0.4472704231739044
Exchange,336,DLinear,2022,0.5090605020523071,0.5431961417198181
Weather,336,PatchFusionBERT_v0,2022,0.2505030035972595,0.28415146470069885
Weather,336,PatchFusionBERT_v2,2022,0.25234049558639526,0.2849360406398773
Weather,336,PatchTST,2022,0.25679492950439453,0.2868083715438843
Weather,336,DLinear,2022,0.26258182525634766,0.31462085247039795
ETTm1,336,PatchFusionBERT_v0,2023,0.37293118238449097,0.3977195620536804
ETTm1,336,PatchFusionBERT_v2,2023,0.37169504165649414,0.3949403762817383
ETTm1,336,PatchTST,2023,0.3754548132419586,0.4013611376285553
ETTm1,336,DLinear,2023,0.3686527907848358,0.3847684860229492
ETTm2,336,PatchFusionBERT_v0,2023,0.2904041111469269,0.34027302265167236
ETTm2,336,PatchFusionBERT_v2,2023,0.3050028085708618,0.34983333945274353
ETTm2,336,PatchTST,2023,0.29957079887390137,0.34640735387802124
ETTm2,336,DLinear,2023,0.31078484654426575,0.36883386969566345
ETTh1,336,PatchFusionBERT_v0,2023,0.4555841386318207,0.45507851243019104
ETTh1,336,PatchFusionBERT_v2,2023,0.44043296575546265,0.4463743567466736
ETTh1,336,PatchTST,2023,0.4639122784137726,0.4597758650779724
ETTh1,336,DLinear,2023,0.4816233515739441,0.4803628623485565
ETTh2,336,PatchFusionBERT_v0,2023,0.39077797532081604,0.4228212237358093
ETTh2,336,PatchFusionBERT_v2,2023,0.3989233374595642,0.42082735896110535
ETTh2,336,PatchTST,2023,0.404533326625824,0.42513030767440796
ETTh2,336,DLinear,2023,0.5075013637542725,0.4916808605194092
Exchange,336,PatchFusionBERT_v0,2023,0.4202517569065094,0.47229039669036865
Exchange,336,PatchFusionBERT_v2,2023,0.3718586564064026,0.44462305307388306
Exchange,336,PatchTST,2023,0.36339014768600464,0.43977659940719604
Exchange,336,DLinear,2023,0.3651973605155945,0.4652998745441437
Weather,336,PatchFusionBERT_v0,2023,0.24541035294532776,0.2819499373435974
Weather,336,PatchFusionBERT_v2,2023,0.2475317269563675,0.2844623029232025
Weather,336,PatchTST,2023,0.25701668858528137,0.28729599714279175
Weather,336,DLinear,2023,0.27382248640060425,0.330451101064682
ETTm1,336,PatchFusionBERT_v0,2024,0.37367409467697144,0.3981601595878601
ETTm1,336,PatchFusionBERT_v2,2024,0.37541472911834717,0.40009644627571106
ETTm1,336,PatchTST,2024,0.3761339485645294,0.4014876186847687
ETTm1,336,DLinear,2024,0.38022276759147644,0.3980877101421356
ETTm2,336,PatchFusionBERT_v0,2024,0.2850649058818817,0.3350706994533539
ETTm2,336,PatchFusionBERT_v2,2024,0.2915264070034027,0.33882659673690796
ETTm2,336,PatchTST,2024,0.27984824776649475,0.3361249268054962
ETTm2,336,DLinear,2024,0.28357216715812683,0.34143349528312683
ETTh1,336,PatchFusionBERT_v0,2024,0.4337589144706726,0.43739500641822815
ETTh1,336,PatchFusionBERT_v2,2024,0.43539005517959595,0.4412524700164795
ETTh1,336,PatchTST,2024,0.4951518476009369,0.4854046404361725
ETTh1,336,DLinear,2024,0.44476765394210815,0.4466582238674164
ETTh2,336,PatchFusionBERT_v0,2024,0.3758072853088379,0.41406670212745667
ETTh2,336,PatchFusionBERT_v2,2024,0.39154812693595886,0.4195477068424225
ETTh2,336,PatchTST,2024,0.4139663875102997,0.4297322928905487
ETTh2,336,DLinear,2024,0.40333980321884155,0.4342241585254669
Exchange,336,PatchFusionBERT_v0,2024,0.38855698704719543,0.45809468626976013
Exchange,336,PatchFusionBERT_v2,2024,0.40091925859451294,0.46651533246040344
Exchange,336,PatchTST,2024,0.3853350579738617,0.45667803287506104
Exchange,336,DLinear,2024,0.32690685987472534,0.43954694271087646
Weather,336,PatchFusionBERT_v0,2024,0.25377318263053894,0.2859712839126587
Weather,336,PatchFusionBERT_v2,2024,0.24540334939956665,0.28228190541267395
Weather,336,PatchTST,2024,0.2556050717830658,0.28766292333602905
Weather,336,DLinear,2024,0.26142746210098267,0.31211093068122864
ETTm1,336,PatchFusionBERT_v0,2025,0.36754828691482544,0.3932918906211853
ETTm1,336,PatchFusionBERT_v2,2025,0.3709568381309509,0.3976338803768158
ETTm1,336,PatchTST,2025,0.3723320960998535,0.39619216322898865
ETTm1,336,DLinear,2025,0.37223556637763977,0.3894374370574951
ETTm2,336,PatchFusionBERT_v0,2025,0.27913156151771545,0.3330509662628174
ETTm2,336,PatchFusionBERT_v2,2025,0.27859312295913696,0.3324163556098938
ETTm2,336,PatchTST,2025,0.2880769371986389,0.34136974811553955
ETTm2,336,DLinear,2025,0.29338693618774414,0.35548505187034607
ETTh1,336,PatchFusionBERT_v0,2025,0.437099814414978,0.4393521249294281
ETTh1,336,PatchFusionBERT_v2,2025,0.44935235381126404,0.4456250071525574
ETTh1,336,PatchTST,2025,0.452436238527298,0.45089536905288696
ETTh1,336,DLinear,2025,0.5716158151626587,0.5478146076202393
ETTh2,336,PatchFusionBERT_v0,2025,0.39467230439186096,0.42610272765159607
ETTh2,336,PatchFusionBERT_v2,2025,0.3860686123371124,0.41069766879081726
ETTh2,336,PatchTST,2025,0.40166518092155457,0.4270740747451782
ETTh2,336,DLinear,2025,0.4757230281829834,0.4773995876312256
Exchange,336,PatchFusionBERT_v0,2025,0.33999568223953247,0.4256625175476074
Exchange,336,PatchFusionBERT_v2,2025,0.33993059396743774,0.42255401611328125
Exchange,336,PatchTST,2025,0.37209632992744446,0.4412330687046051
Exchange,336,DLinear,2025,0.3521466553211212,0.46164292097091675
Weather,336,PatchFusionBERT_v0,2025,0.24827153980731964,0.28110817074775696
Weather,336,PatchFusionBERT_v2,2025,0.2524752616882324,0.28570786118507385
Weather,336,PatchTST,2025,0.2545188069343567,0.2850996255874634
Weather,336,DLinear,2025,0.26095888018608093,0.3111877739429474
