Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
ETTm1,336,PAttn,0.373399943113327,0.39769643545150757,result_long_term_forecast.txt,4.0,5.0,DLinear,0.3695,0.3859,0.0038999431133270313,0.011796435451507548
ETTm1,336,PatchTST,0.3741,0.3981,results_23-01.md,5.0,6.0,DLinear,0.3695,0.3859,0.004599999999999993,0.012199999999999989
ETTm1,336,iTransformer,0.3786,0.4015,results_23-01.md,6.0,8.0,DLinear,0.3695,0.3859,0.009099999999999997,0.015600000000000003
ETTm1,336,TiDE,0.3811,0.3929,results_23-01.md,7.0,3.0,DLinear,0.3695,0.3859,0.0116,0.007000000000000006
ETTm1,336,PatchFusionBERT_v0,0.3823,0.3991,results_23-01.md,8.0,7.0,DLinear,0.3695,0.3859,0.012799999999999978,0.01319999999999999
ETTm1,336,TimeXer,0.3863,0.4052,results_23-01.md,9.0,9.0,DLinear,0.3695,0.3859,0.01679999999999998,0.019299999999999984
ETTm1,336,PatchFusionBERT_BERTOnly,0.3915,0.4119,results_23-01.md,10.0,10.0,DLinear,0.3695,0.3859,0.02200000000000002,0.025999999999999968
ETTm2,96,PatchFusionBERT_v0,0.1679,0.2571,results_23-01.md,1.0,3.0,PatchFusionBERT_v0,0.1679,0.2571,0.0,0.0
ETTm2,96,DLinear,0.1684,0.2644,results_23-01.md,2.0,8.0,PatchFusionBERT_v0,0.1679,0.2571,0.0005000000000000004,0.007300000000000029
ETTm2,96,TiDE,0.169,0.2595,results_23-01.md,3.0,4.0,PatchFusionBERT_v0,0.1679,0.2571,0.0011000000000000176,0.0024000000000000132
ETTm2,96,PatchFusionBERT_v2,0.1695,0.2567,results_23-01.md,4.0,2.0,PatchFusionBERT_v0,0.1679,0.2571,0.001600000000000018,-0.00040000000000001146
ETTm2,96,TimeXer,0.1716,0.2562,results_23-01.md,5.0,1.0,PatchFusionBERT_v0,0.1679,0.2571,0.003700000000000009,-0.0009000000000000119
ETTm2,96,WPMixer,0.1721682995557785,0.2602023780345917,result_long_term_forecast.txt,6.0,5.0,PatchFusionBERT_v0,0.1679,0.2571,0.00426829955577851,0.0031023780345916796
ETTm2,96,PAttn,0.17222191393375397,0.2616959512233734,result_long_term_forecast.txt,7.0,6.0,PatchFusionBERT_v0,0.1679,0.2571,0.004321913933753974,0.004595951223373418
ETTm2,96,PatchTST,0.1728,0.264,results_23-01.md,8.0,7.0,PatchFusionBERT_v0,0.1679,0.2571,0.0049000000000000155,0.006900000000000017
ETTm2,96,iTransformer,0.1749,0.266,results_23-01.md,9.0,9.0,PatchFusionBERT_v0,0.1679,0.2571,0.007000000000000006,0.008900000000000019
ETTm2,96,PatchFusionBERT_BERTOnly,0.2207,0.2793,results_23-01.md,10.0,10.0,PatchFusionBERT_v0,0.1679,0.2571,0.052800000000000014,0.022199999999999998
ETTm2,192,TiDE,0.2241,0.2965,results_23-01.md,1.0,1.0,TiDE,0.2241,0.2965,0.0,0.0
ETTm2,192,PatchTST,0.2282,0.3018,results_23-01.md,2.0,5.0,TiDE,0.2241,0.2965,0.0040999999999999925,0.005300000000000027
ETTm2,192,TimeXer,0.2311,0.2986,results_23-01.md,3.0,2.0,TiDE,0.2241,0.2965,0.007000000000000006,0.0020999999999999908
ETTm2,192,PAttn,0.23359130322933197,0.30594709515571594,result_long_term_forecast.txt,4.0,7.0,TiDE,0.2241,0.2965,0.009491303229331977,0.009447095155715957
ETTm2,192,PatchFusionBERT_v0,0.2347,0.2997,results_23-01.md,5.0,3.0,TiDE,0.2241,0.2965,0.010599999999999998,0.003200000000000036
ETTm2,192,PatchFusionBERT_v2,0.2347,0.3001,results_23-01.md,5.0,4.0,TiDE,0.2241,0.2965,0.010599999999999998,0.003599999999999992
ETTm2,192,DLinear,0.2357,0.3153,results_23-01.md,7.0,9.0,TiDE,0.2241,0.2965,0.0116,0.01880000000000004
ETTm2,192,WPMixer,0.23803025484085083,0.30301547050476074,result_long_term_forecast.txt,8.0,6.0,TiDE,0.2241,0.2965,0.013930254840850836,0.006515470504760756
ETTm2,192,iTransformer,0.2475,0.3139,results_23-01.md,9.0,8.0,TiDE,0.2241,0.2965,0.023400000000000004,0.017400000000000027
ETTm2,192,PatchFusionBERT_BERTOnly,0.3558,0.3336,results_23-01.md,10.0,10.0,TiDE,0.2241,0.2965,0.1317,0.03710000000000002
ETTm2,336,PatchFusionBERT_v0,0.2739,0.3291,results_23-01.md,1.0,1.0,PatchFusionBERT_v0,0.2739,0.3291,0.0,0.0
ETTm2,336,TiDE,0.278,0.3314,results_23-01.md,2.0,2.0,PatchFusionBERT_v0,0.2739,0.3291,0.004100000000000048,0.0022999999999999687
ETTm2,336,TimeXer,0.287,0.3351,results_23-01.md,3.0,3.0,PatchFusionBERT_v0,0.2739,0.3291,0.0131,0.006000000000000005
ETTm2,336,WPMixer,0.29254505038261414,0.3395202159881592,result_long_term_forecast.txt,4.0,4.0,PatchFusionBERT_v0,0.2739,0.3291,0.01864505038261416,0.010420215988159176
ETTm2,336,PatchTST,0.2935,0.3457,results_23-01.md,5.0,5.0,PatchFusionBERT_v0,0.2739,0.3291,0.019600000000000006,0.016600000000000004
ETTm2,336,PAttn,0.2983053922653198,0.3494361340999603,result_long_term_forecast.txt,6.0,7.0,PatchFusionBERT_v0,0.2739,0.3291,0.024405392265319847,0.020336134099960324
ETTm2,336,DLinear,0.301,0.3633,results_23-01.md,7.0,9.0,PatchFusionBERT_v0,0.2739,0.3291,0.027100000000000013,0.03420000000000001
ETTm2,336,PatchFusionBERT_v2,0.3014,0.3496,results_23-01.md,8.0,8.0,PatchFusionBERT_v0,0.2739,0.3291,0.027500000000000024,0.020500000000000018
ETTm2,336,iTransformer,0.302,0.3484,results_23-01.md,9.0,6.0,PatchFusionBERT_v0,0.2739,0.3291,0.028100000000000014,0.019299999999999984
ETTm2,336,PatchFusionBERT_BERTOnly,0.3516,0.3691,results_23-01.md,10.0,10.0,PatchFusionBERT_v0,0.2739,0.3291,0.07770000000000005,0.03999999999999998
Exchange,96,PatchTST,0.0918,0.2156,results_23-01.md,1.0,2.0,PatchTST,0.0918,0.2156,0.0,0.0
Exchange,96,PAttn,0.09190288186073303,0.21545939147472382,result_long_term_forecast.txt,2.0,1.0,PatchTST,0.0918,0.2156,0.00010288186073302563,-0.00014060852527619794
