Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,192,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3951290249824524,0.4255884289741516,0.6285929083824158,1.0945852994918823,155.4893798828125
ETTm2,192,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5479792356491089,0.5080261826515198,0.7402561902999878,1.0632209777832031,126.51927185058594
ETTm2,192,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3510775864124298,0.40474605560302734,0.5925180315971375,1.1987195014953613,210.0399932861328
ETTm2,192,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.45869699120521545,0.4598579704761505,0.6772717237472534,1.2037527561187744,203.9337921142578
ETTm2,192,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5609166026115417,0.5058054327964783,0.7489436864852905,1.2001272439956665,189.51466369628906
ETTm2,192,PFB-Direct,clean,0.0,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.23469436168670654,0.29971960186958313,0.48445263504981995,1.1638927459716797,206.93789672851562
ETTm2,192,PFB-Direct,random,0.1,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2717665433883667,0.3421742618083954,0.5213123559951782,1.1090842485427856,174.1876983642578
ETTm2,192,PFB-Direct,random,0.2,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3518778681755066,0.40716564655303955,0.5931929349899292,1.0635507106781006,142.00875854492188
ETTm2,192,PFB-Direct,random,0.3,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.482770711183548,0.4918746054172516,0.6948170065879822,1.0298829078674316,113.6446762084961
ETTm2,192,PFB-Direct,block,0.1,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2995193898677826,0.35736745595932007,0.5472836494445801,1.1529505252838135,188.46755981445312
