dataset,horizon,model,step,per_step_mse,n_seeds
Weather,192,PatchFusionBERT_v0,128,0.22359895706176758,5
Weather,192,PatchFusionBERT_v0,129,0.22483591735363007,5
Weather,192,PatchFusionBERT_v0,130,0.22495658695697784,5
Weather,192,PatchFusionBERT_v0,131,0.22510845959186554,5
Weather,192,PatchFusionBERT_v0,132,0.22555065155029297,5
Weather,192,PatchFusionBERT_v0,133,0.22628362476825714,5
Weather,192,PatchFusionBERT_v0,134,0.2265513390302658,5
Weather,192,PatchFusionBERT_v0,135,0.22708538174629211,5
Weather,192,PatchFusionBERT_v0,136,0.22841449081897736,5
Weather,192,PatchFusionBERT_v0,137,0.22885386645793915,5
Weather,192,PatchFusionBERT_v0,138,0.22931353747844696,5
Weather,192,PatchFusionBERT_v0,139,0.22934648394584656,5
Weather,192,PatchFusionBERT_v0,140,0.2307974100112915,5
Weather,192,PatchFusionBERT_v0,141,0.23417839407920837,5
