dataset,horizon,comparison,model_a,model_b,metric,n_pairs,n_nonzero,statistic,p_value,mean_diff,median_diff,rank_biserial,winner,significant,p_holm,p_fdr_bh,significant_holm,significant_fdr_bh
Illness,60,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,5.0,0.625,-0.0524456977844238,-0.0650898218154907,-0.3333333333333333,PatchFusionBERT_v0,No,1.0,0.737705,No,No
Illness,60,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,5.0,0.625,-0.0190007328987121,-0.0163056850433349,-0.3333333333333333,PatchFusionBERT_v0,No,1.0,0.737705,No,No
Illness,60,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,2.0,0.1875,-0.0440170049667358,-0.0208392143249511,-0.7333333333333333,PatchFusionBERT_v0,No,1.0,0.287234,No,No
Illness,60,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,7.0,1.0,-0.0007994532585144,0.003821849822998,-0.0666666666666666,PatchFusionBERT_v0,No,1.0,1.0,No,No
Illness,60,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,0.0,0.0625,-0.8805423021316529,-0.4462567567825317,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,60,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,-0.2547155261039734,-0.1968345046043396,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,60,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,7.0,1.0,-0.0084286928176879,0.0420007705688476,0.0666666666666666,PatchFusionBERT_v2,No,1.0,1.0,No,No
Illness,60,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,6.0,0.8125,-0.0182012796401977,0.0193827152252197,-0.2,PatchFusionBERT_v2,No,1.0,0.873134,No,No
Weather,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,3.0,0.3125,-0.0012140393257141,-0.0014848411083221,-0.6,PatchFusionBERT_v0,No,1.0,0.424528,No,No
Weather,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,2.0,0.1875,-0.0011231124401092,-0.000836819410324,-0.7333333333333333,PatchFusionBERT_v0,No,1.0,0.287234,No,No
Weather,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,0.0,0.0625,0.0023752719163894,0.0022373646497726,1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Weather,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,0.0,0.0625,0.0020308792591094,0.0018606185913085,1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Weather,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,0.0,0.0625,-0.0203409165143966,-0.0203030109405517,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Weather,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,-0.0328121989965438,-0.0318173170089721,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Weather,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,0.0,0.0625,-0.0035893112421035,-0.0030998438596725,-1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Weather,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,0.0,0.0625,-0.0031539916992187,-0.0034486949443817,-1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
